Person Number,Location Code,Craft Vs Professionals,Area,Business Function
502201,Mexico City MX Blvd Manuel,PROFESSIONAL,Corporate,Human Resources
513734,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
511459,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
537684,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
505949,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
539901,Campeche MX,PROFESSIONAL,"North, Central and South America",QHSES
541617,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
537021,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
518730,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
521884,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
539238,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
522746,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
515258,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
538074,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
537438,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Supply Chain
519293,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
523391,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Finance
537100,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
522258,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
544001,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
538698,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
545982,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
526126,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
521303,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
546955,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Engineering
537399,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Supply Chain
542879,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
524271,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
543223,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Information Technology
537147,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
541648,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
503620,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
522035,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
505882,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
521715,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Finance
547424,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
521295,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
542662,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
542344,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
542007,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
519296,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
546576,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
540569,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
509325,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Commercial
537559,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Supply Chain
535160,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
536161,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
524356,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
523333,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
521957,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
517764,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
516456,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
546412,Altamira MX Lado Poniente,PROFESSIONAL,Asia Pacific,Fabrication
520503,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
536786,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
510484,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
543735,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
508919,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
518483,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536505,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
518139,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
542622,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
539232,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
543215,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Project Management & Controls
522200,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
518814,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
536902,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
544186,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
540468,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
516818,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
519282,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Project Management & Controls
537629,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
538196,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
544957,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
522560,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
537329,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
536669,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Supply Chain
521495,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
543364,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",Fabrication
536487,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
532347,Altamira MX Lado Poniente,PROFESSIONAL,"North, Central and South America",QHSES
505376,Mexico City MX Blvd Manuel,PROFESSIONAL,"North, Central and South America",Engineering
